"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login_page_init","tests","2026-06-22","passed","2026-06-22","","test_smoke","",""
"","0","test_imports","tests","2026-06-22","passed","2026-06-22","","test_smoke","",""
